example_id                                                | status  | run_time        |
./spec/features/person_displays_spec.rb[1:1:6]            | passed  | 0.28879 seconds |
./spec/features/person_displays_spec.rb[1:1:7]            | passed  | 0.27768 seconds |
./spec/features/person_displays_spec.rb[1:1:8]            | passed  | 0.27731 seconds |
./spec/features/person_displays_spec.rb[1:1:9]            | passed  | 0.27777 seconds |
./spec/features/person_displays_spec.rb[1:2:1]            | passed  | 0.16626 seconds |
./spec/features/person_displays_spec.rb[1:2:2]            | passed  | 0.16636 seconds |
./spec/features/person_displays_spec.rb[1:2:3]            | passed  | 0.33322 seconds |
./spec/features/person_displays_spec.rb[1:2:4]            | passed  | 0.17766 seconds |
./spec/features/person_displays_spec.rb[1:2:5]            | passed  | 0.1443 seconds  |
./spec/features/person_displays_spec.rb[1:2:6]            | pending | 0.00001 seconds |
./spec/features/person_edit_spec.rb[1:2:1]                | passed  | 0.44418 seconds |
./spec/features/person_edit_spec.rb[1:2:2]                | passed  | 0.29972 seconds |
./spec/features/person_edit_spec.rb[1:2:3]                | passed  | 0.31095 seconds |
./spec/features/person_edit_spec.rb[1:2:4]                | passed  | 0.46748 seconds |
./spec/features/person_edit_spec.rb[1:2:5]                | passed  | 0.26675 seconds |
./spec/features/person_edit_spec.rb[1:2:6]                | passed  | 0.15401 seconds |
./spec/features/person_edit_spec.rb[1:2:7]                | pending | 0.00001 seconds |
./spec/features/repairs_spec.rb[1:1:1]                    | passed  | 0.12167 seconds |
./spec/features/roles_spec.rb[1:1:1]                      | passed  | 0.13294 seconds |
./spec/features/tasks_spec.rb[1:1]                        | passed  | 0.14409 seconds |
./spec/features/tasks_spec.rb[1:2]                        | passed  | 0.14425 seconds |
./spec/features/tasks_spec.rb[1:3]                        | passed  | 0.15543 seconds |
./spec/features/tasks_spec.rb[1:4:1]                      | passed  | 0.33312 seconds |
./spec/features/timeslots_spec.rb[1:1]                    | passed  | 0.11079 seconds |
./spec/features/timeslots_spec.rb[2:1]                    | passed  | 0.14422 seconds |
./spec/features/timeslots_spec.rb[2:2]                    | passed  | 0.17746 seconds |
./spec/features/timeslots_spec.rb[2:3]                    | passed  | 0.15551 seconds |
./spec/features/timeslots_spec.rb[2:4]                    | passed  | 0.26646 seconds |
./spec/features/users_spec.rb[1:1]                        | passed  | 0.08864 seconds |
./spec/features/users_spec.rb[2:1]                        | passed  | 0.16634 seconds |
./spec/features/users_spec.rb[2:2]                        | passed  | 0.19981 seconds |
./spec/features/users_spec.rb[2:3]                        | passed  | 0.12206 seconds |
./spec/mailers/cert_mailer_spec.rb[1:1:1]                 | pending | 0.00001 seconds |
./spec/mailers/cert_mailer_spec.rb[1:1:2]                 | pending | 0.00001 seconds |
./spec/models/availability_spec.rb[1:1]                   | pending | 0.00002 seconds |
./spec/models/availability_spec.rb[1:2:1]                 | passed  | 0.02192 seconds |
./spec/models/availability_spec.rb[1:3:1]                 | passed  | 0.02217 seconds |
./spec/models/availability_spec.rb[1:3:2]                 | passed  | 0.02197 seconds |
./spec/models/availability_spec.rb[1:3:3]                 | passed  | 0.06616 seconds |
./spec/models/availability_spec.rb[1:3:4]                 | passed  | 0.02203 seconds |
./spec/models/availability_spec.rb[1:3:5]                 | passed  | 0.04427 seconds |
./spec/models/cert_spec.rb[1:1]                           | passed  | 0.06601 seconds |
./spec/models/cert_spec.rb[1:2]                           | passed  | 0.04427 seconds |
./spec/models/cert_spec.rb[1:3]                           | passed  | 0.03312 seconds |
./spec/models/event_spec.rb[1:1]                          | passed  | 0.03318 seconds |
./spec/models/event_spec.rb[1:2]                          | passed  | 0.02216 seconds |
./spec/models/event_spec.rb[1:3]                          | passed  | 0.07773 seconds |
./spec/models/event_spec.rb[1:4]                          | passed  | 0.02213 seconds |
./spec/models/event_spec.rb[1:5]                          | passed  | 0.03319 seconds |
./spec/models/event_spec.rb[1:6]                          | passed  | 0.17752 seconds |
./spec/models/event_spec.rb[1:7]                          | passed  | 0.0442 seconds  |
./spec/models/event_spec.rb[1:8]                          | passed  | 0.022 seconds   |
./spec/models/event_spec.rb[1:9]                          | passed  | 0.02203 seconds |
./spec/models/helpdoc_spec.rb[1:1]                        | passed  | 0.03315 seconds |
./spec/models/inspection_spec.rb[1:1]                     | passed  | 0.05521 seconds |
./spec/models/item_spec.rb[1:1]                           | passed  | 0.04406 seconds |
./spec/models/location_spec.rb[1:1]                       | passed  | 0.0219 seconds  |
./spec/models/person_spec.rb[1:1:1]                       | passed  | 0.03275 seconds |
./spec/models/person_spec.rb[1:1:2]                       | passed  | 0.04432 seconds |
./spec/models/person_spec.rb[1:1:3:1:1]                   | passed  | 0.02199 seconds |
./spec/models/person_spec.rb[1:1:3:2:1]                   | passed  | 0.02186 seconds |
./spec/models/person_spec.rb[1:1:4]                       | passed  | 0.02205 seconds |
./spec/models/person_spec.rb[1:2:1:1:1]                   | passed  | 0.04413 seconds |
./spec/models/person_spec.rb[1:2:1:2:1]                   | passed  | 0.06654 seconds |
./spec/models/person_spec.rb[1:2:1:3:1]                   | passed  | 0.05505 seconds |
./spec/models/person_spec.rb[1:2:2:1:1]                   | passed  | 0.06599 seconds |
./spec/models/person_spec.rb[1:2:2:2:1]                   | passed  | 0.07757 seconds |
./spec/models/repair_spec.rb[1:1]                         | passed  | 0.03294 seconds |
./spec/models/resource_type_spec.rb[1:1]                  | passed  | 0.02208 seconds |
./spec/models/resource_type_spec.rb[1:2]                  | passed  | 0.02186 seconds |
./spec/models/resource_type_spec.rb[1:3]                  | passed  | 0.04412 seconds |
./spec/models/resource_type_spec.rb[1:4]                  | passed  | 0.04442 seconds |
./spec/models/task_spec.rb[1:1]                           | passed  | 0.0885 seconds  |
./spec/models/task_spec.rb[1:2:1]                         | passed  | 0.03313 seconds |
./spec/models/task_spec.rb[1:2:2]                         | passed  | 0.04409 seconds |
./spec/models/task_spec.rb[1:2:3]                         | passed  | 0.02205 seconds |
./spec/models/task_spec.rb[1:2:4]                         | passed  | 0.0221 seconds  |
./spec/models/task_spec.rb[1:2:5]                         | passed  | 0.03318 seconds |
./spec/models/task_spec.rb[1:2:6:1]                       | passed  | 0.03306 seconds |
./spec/models/task_spec.rb[1:2:6:2]                       | passed  | 0.03299 seconds |
./spec/models/task_spec.rb[1:2:6:3]                       | passed  | 0.03333 seconds |
./spec/models/timecard_spec.rb[1:1:1]                     | passed  | 0.03325 seconds |
./spec/models/timecard_spec.rb[1:1:2]                     | passed  | 0.03302 seconds |
./spec/models/timecard_spec.rb[1:1:3]                     | passed  | 0.03332 seconds |
./spec/models/timecard_spec.rb[1:1:4]                     | passed  | 0.03318 seconds |
./spec/models/timecard_spec.rb[1:1:5]                     | passed  | 0.03299 seconds |
./spec/models/timecard_spec.rb[1:1:6]                     | passed  | 0.0665 seconds  |
./spec/models/timecard_spec.rb[1:1:7]                     | passed  | 0.05529 seconds |
./spec/models/timecard_spec.rb[1:1:8]                     | pending | 0.00001 seconds |
./spec/models/timecard_spec.rb[1:1:9]                     | passed  | 0.02177 seconds |
./spec/models/title_spec.rb[1:1:1]                        | passed  | 0.02177 seconds |
./spec/models/user_spec.rb[1:1]                           | passed  | 0.02189 seconds |
./spec/requests/activities_spec.rb[1:1:1]                 | passed  | 0.04403 seconds |
./spec/requests/availabilities_spec.rb[1:1:1]             | passed  | 0.04439 seconds |
./spec/requests/departments_spec.rb[1:1:1]                | passed  | 0.044 seconds   |
./spec/requests/helpdocs_spec.rb[1:1:1]                   | passed  | 0.04414 seconds |
./spec/requests/item_types_spec.rb[1:1:1]                 | passed  | 0.06621 seconds |
./spec/requests/resource_types_spec.rb[1:1:1]             | passed  | 0.04401 seconds |
./spec/requests/unique_ids_spec.rb[1:1:1]                 | passed  | 0.04405 seconds |
./spec/routing/activities_routing_spec.rb[1:1:1]          | passed  | 0.02189 seconds |
./spec/routing/activities_routing_spec.rb[1:1:2]          | passed  | 0.02199 seconds |
./spec/routing/activities_routing_spec.rb[1:1:3]          | passed  | 0.02204 seconds |
./spec/routing/activities_routing_spec.rb[1:1:4]          | passed  | 0.02163 seconds |
./spec/routing/activities_routing_spec.rb[1:1:5]          | passed  | 0.02216 seconds |
./spec/routing/activities_routing_spec.rb[1:1:6]          | passed  | 0.02203 seconds |
./spec/routing/activities_routing_spec.rb[1:1:7]          | passed  | 0.02216 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:1]      | passed  | 0.02204 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:2]      | passed  | 0.02206 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:3]      | passed  | 0.02178 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:4]      | passed  | 0.02199 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:5]      | passed  | 0.02203 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:6]      | passed  | 0.03316 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:7]      | passed  | 0.02205 seconds |
./spec/routing/availabilities_routing_spec.rb[1:1:8]      | passed  | 0.0221 seconds  |
./spec/routing/channels_routing_spec.rb[1:1:1]            | passed  | 0.02201 seconds |
./spec/routing/channels_routing_spec.rb[1:1:2]            | passed  | 0.02177 seconds |
./spec/routing/channels_routing_spec.rb[1:1:3]            | passed  | 0.02206 seconds |
./spec/routing/channels_routing_spec.rb[1:1:4]            | passed  | 0.02188 seconds |
./spec/routing/channels_routing_spec.rb[1:1:5]            | passed  | 0.02212 seconds |
./spec/routing/channels_routing_spec.rb[1:1:6]            | passed  | 0.02211 seconds |
./spec/routing/channels_routing_spec.rb[1:1:7]            | passed  | 0.02206 seconds |
./spec/routing/departments_routing_spec.rb[1:1:1]         | passed  | 0.02217 seconds |
./spec/routing/departments_routing_spec.rb[1:1:2]         | passed  | 0.02222 seconds |
./spec/routing/departments_routing_spec.rb[1:1:3]         | passed  | 0.02198 seconds |
./spec/routing/departments_routing_spec.rb[1:1:4]         | passed  | 0.02172 seconds |
./spec/routing/departments_routing_spec.rb[1:1:5]         | passed  | 0.02181 seconds |
./spec/routing/departments_routing_spec.rb[1:1:6]         | passed  | 0.02197 seconds |
./spec/routing/departments_routing_spec.rb[1:1:7]         | passed  | 0.05529 seconds |
./spec/routing/events_routing_spec.rb[1:1:1]              | passed  | 0.02202 seconds |
./spec/routing/events_routing_spec.rb[1:1:2]              | passed  | 0.02204 seconds |
./spec/routing/events_routing_spec.rb[1:1:3]              | passed  | 0.02202 seconds |
./spec/routing/events_routing_spec.rb[1:1:4]              | passed  | 0.02178 seconds |
./spec/routing/events_routing_spec.rb[1:1:5]              | passed  | 0.02207 seconds |
./spec/routing/events_routing_spec.rb[1:1:6]              | passed  | 0.03309 seconds |
./spec/routing/events_routing_spec.rb[1:1:7]              | passed  | 0.02211 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:1]            | passed  | 0.0221 seconds  |
./spec/routing/helpdocs_routing_spec.rb[1:1:2]            | passed  | 0.02206 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:3]            | passed  | 0.02196 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:4]            | passed  | 0.02211 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:5]            | passed  | 0.02197 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:6]            | passed  | 0.02193 seconds |
./spec/routing/helpdocs_routing_spec.rb[1:1:7]            | passed  | 0.02214 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:1]         | passed  | 0.02215 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:2]         | passed  | 0.0221 seconds  |
./spec/routing/inspections_routing_spec.rb[1:1:3]         | passed  | 0.02178 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:4]         | passed  | 0.02201 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:5]         | passed  | 0.02202 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:6]         | passed  | 0.02204 seconds |
./spec/routing/inspections_routing_spec.rb[1:1:7]         | passed  | 0.02206 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:1]          | passed  | 0.02174 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:2]          | passed  | 0.02207 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:3]          | passed  | 0.02208 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:4]          | passed  | 0.02216 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:5]          | passed  | 0.02208 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:6]          | passed  | 0.02197 seconds |
./spec/routing/item_types_routing_spec.rb[1:1:7]          | passed  | 0.0221 seconds  |
./spec/routing/items_routing_spec.rb[1:1:1]               | passed  | 0.02206 seconds |
./spec/routing/items_routing_spec.rb[1:1:2]               | passed  | 0.02213 seconds |
./spec/routing/items_routing_spec.rb[1:1:3]               | passed  | 0.02208 seconds |
./spec/routing/items_routing_spec.rb[1:1:4]               | passed  | 0.0219 seconds  |
./spec/routing/items_routing_spec.rb[1:1:5]               | passed  | 0.02208 seconds |
